algorithm,strategy,type,num_users,num_trans,mal_percent,success_rate,execution_time
socialtrust,COLLECTIVE,Pure,300,2000,60,95.3145917,41.402
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
socialtrust,COLLECTIVE,Pure,100,1000,60,96.34464752,1.275
socialtrust,COLLECTIVE,Pure,100,1000,40,96.55172414,2.169
socialtrust,COLLECTIVE,Pure,100,1000,20,96.25,5.327
socialtrust,COLLECTIVE,Pure,300,1000,20,97.02970297,505.19
socialtrust,COLLECTIVE,Pure,300,1000,40,96.01386482,125.371
socialtrust,COLLECTIVE,Pure,300,1000,60,95.36585366,30.057
socialtrust,COLLECTIVE,Pure,100,2000,20,95.9042218,13.405
socialtrust,COLLECTIVE,Pure,100,2000,40,96.56040268,5.4
socialtrust,COLLECTIVE,Pure,100,2000,60,98.06763285,2.886
socialtrust,COLLECTIVE,Pure,200,2000,20,96.54107474,204.04
socialtrust,COLLECTIVE,Pure,200,2000,40,96.21710526,53.472
socialtrust,COLLECTIVE,Pure,200,2000,60,97.22222222,19.173
